locality,Family,Genus,morphotype id,petiole width,leaf area,pw^2/a,,
Badger's Nose,Anacardiaceae,Rhus,Rhus sp,0.083301,8.858221,0.000783347,,
Badger's Nose,Anacardiaceae,Rhus,Rhus sp,0.168844,17.104011,0.001666761,,
Badger's Nose,Anacardiaceae,Rhus,Rhus sp,0.063533,9.95172,0.000405602,,
Badger's Nose,Rosaceae,Rosa,Rosa hilliae,0.06051,1.667778,0.002195412,,
Badger's Nose,Theaceae,Ternstroemites,Ternstroemites,0.061782,12.37545,0.000308434,,
Badger's Nose,Ulmaceae,Ulmus,Ulmus sp,0.071282,10.714231,0.000474241,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.06735,9.865301,0.000459796,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.068895,3.010646,0.001576579,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.079891,1.701455,0.003751243,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.058632,14.929798,0.000230258,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.071261,0.671414,0.007563337,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.075369,1.240263,0.004580066,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.074458,7.469073,0.00074226,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.13631,15.593692,0.001191534,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.076746,7.28175,0.000808864,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.084214,5.975488,0.001186848,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.089148,2.92495,0.002717095,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.119461,23.92671,0.000596443,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.135823,17.215304,0.001071598,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.084931,5.717334,0.00126165,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.118576,19.072222,0.000737212,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.115864,5.742544,0.002337721,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.135901,18.403603,0.001003558,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.066011,6.725349,0.000647915,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.069731,9.099618,0.000534353,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.094238,28.117259,0.000315849,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.134677,13.651517,0.001328636,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.096367,15.273361,0.000608026,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.113608,7.926005,0.001628409,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.07044,7.973613,0.000622277,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.07105,8.253072,0.000611663,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.078805,4.599502,0.001350196,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.111536,7.761533,0.001602812,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.103726,7.187099,0.001496999,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.054707,5.359303,0.000558441,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.078616,5.377892,0.001149238,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.09276,19.057658,0.000451494,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.118299,9.139737,0.001531188,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.110313,7.61471,0.001598086,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.094144,9.273773,0.000955716,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.094704,18.238768,0.000491746,,
Butler Basin,Betulaceae,Alnus,Alnus heterodonta,0.083468,2.01574,0.003456253,,
Butler Basin,Betulaceae,Alnus,Alnus newberryi,0.107745,11.100951,0.001045765,,
Butler Basin,Betulaceae,Alnus,Alnus newberryi,0.119503,16.602065,0.000860192,,
Butler Basin,Betulaceae,Alnus,Alnus newberryi,0.116631,8.4801,0.001604084,,
Butler Basin,Betulaceae,Alnus,Alnus newberryi,0.089952,8.825361,0.000916831,,
Butler Basin,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum crenatum,0.098675,19.018228,0.00051197,,
Butler Basin,Fagaceae,Fagus,Fagus pacifica,0.078946,28.469348,0.000218919,,
Butler Basin,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.067676,9.282775,0.000493391,,
Butler Basin,Juglandaceae,Pterocarya,Pterocarya sp,0.072645,16.519021,0.000319468,,
Butler Basin,Juglandaceae,Pterocarya,Pterocarya sp,0.044497,2.338606,0.000846651,,
Butler Basin,Juglandaceae,Pterocarya,Pterocarya sp,0.089881,24.862198,0.000324935,,
Butler Basin,Fagaceae,Quercus,Quercus consimilis,0.117494,10.589989,0.001303575,,
Butler Basin,Fagaceae,Quercus,Quercus consimilis,0.120988,3.443609,0.004250801,,
Butler Basin,Fagaceae,Quercus,Quercus consimilis,0.15129,21.320822,0.001073536,,
Butler Basin,Fagaceae,Quercus,Quercus consimilis,0.166761,29.46038,0.000943954,,
Butler Basin,Rosaceae,Malus,Malus,0.032043,1.149882,0.000892921,,
Cove Creek,Sapindaceae,Acer,Acer glabroides,0.11724,18.839971,0.000729577,,
Cove Creek,Sapindaceae,Acer,Acer oligomedianum,0.112786,38.519312,0.000330242,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.12327,26.053485,0.000583242,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.117105,34.041613,0.000402848,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.198563,20.089668,0.001962564,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.145027,12.522813,0.001679561,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.098279,13.635344,0.000708362,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.08296,9.822456,0.000700676,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.108089,10.862153,0.001075591,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.122475,12.514162,0.001198652,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.103988,30.397242,0.00035574,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.156552,18.549648,0.00132124,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.09698,6.195991,0.001517936,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.098769,21.691425,0.000449731,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.088989,10.50023,0.000754178,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.094059,4.146438,0.002133662,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.095263,26.27684,0.000345363,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.155413,4.570353,0.005284756,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.125263,30.148199,0.000520456,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.090253,25.096431,0.000324572,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.111978,23.109263,0.000542599,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.102765,16.115651,0.000655304,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.106031,11.558347,0.00097268,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.102553,23.314968,0.000451089,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.094194,29.933151,0.000296411,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.148532,34.464128,0.000640137,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.102829,11.761695,0.000899003,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.075831,3.442587,0.001670354,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.06637,16.29042,0.000270403,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.108263,15.075734,0.000777466,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.073539,5.515002,0.000980595,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.079494,9.437465,0.000669597,,
Cove Creek,Betulaceae,Alnus,Alnus heterodonta,0.089393,3.244704,0.002462816,,
Cove Creek,Betulaceae,Alnus,Alnus newberryi,0.105328,15.055679,0.000736864,,
Cove Creek,Betulaceae,Alnus,Alnus newberryi,0.106095,13.612416,0.000826903,,
Cove Creek,Betulaceae,Alnus,Alnus sp,0.096973,0.899307,0.010456677,,
Cove Creek,Betulaceae,Alnus,Alnus sp,0.075624,12.806136,0.000446582,,
Cove Creek,Betulaceae,Alnus,Alnus sp,0.110736,11.215499,0.00109335,,
Cove Creek,Rosaceae,Amelanchier,Amelanchier covea,0.081633,12.674636,0.00052577,,
Cove Creek,Rosaceae,Amelanchier,Amelanchier grayi,0.095065,7.743816,0.001167041,,
Cove Creek,Meliaceae,Cedrela,Cedrela merrillii,0.165537,38.943714,0.000703644,,
Cove Creek,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum crenatum,0.190498,37.607234,0.00096496,,
Cove Creek,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum crenatum,0.125839,8.570567,0.001847655,,
Cove Creek,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum crenatum,0.092818,11.915042,0.000723051,,
Cove Creek,Rosaceae,Crataegus,Crataegus merriami,0.042164,5.202673,0.00034171,,
Cove Creek,Rosaceae,Crataegus,Crataegus merriami,0.104107,7.558462,0.001433925,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.119441,19.584335,0.000728447,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.089362,10.669766,0.000748429,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.079202,23.983975,0.000261548,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.112872,13.999793,0.00091002,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.09828,26.113993,0.000369877,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.065691,25.896415,0.000166637,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.074082,7.425204,0.000739123,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.095222,18.161427,0.000499258,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.105781,12.799553,0.00087422,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.129011,25.695793,0.000647726,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.097378,18.38581,0.00051575,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.158174,23.783453,0.00105195,,
Cove Creek,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.077493,25.294211,0.000237413,,
Cove Creek,Tiliaceae,Plafkeria,Plafkeria obliquifolia,0.216796,48.953389,0.000960107,,
Cove Creek,Tiliaceae,Plafkeria,Plafkeria obliquifolia,0.152398,48.257577,0.000481275,,
Cove Creek,Juglandaceae,Pterocarya,Pterocarya sp,0.078694,13.248932,0.000467415,,
Cove Creek,Fagaceae,Quercus,Quercus consimilis,0.077815,5.622195,0.001077012,,
Cove Creek,Tiliaceae,Tilia,Tilia lamottei,0.188622,43.479802,0.000818271,,
Cove Creek,Tiliaceae,TIlia,Tilia lamottei,0.183502,47.370161,0.000710848,,
Crooked River,Sapindaceae,Acer,Acer glabroides,0.072441,13.913512,0.000377166,,
Crooked River,Sapindaceae,Acer,Acer glabroides,0.143793,16.794433,0.001231148,,
Crooked River,Sapindaceae,Acer,Acer glabroides,0.06422,6.697205,0.00061581,,
Crooked River,Sapindaceae,Acer,Acer manchesteri,0.097353,11.445115,0.000828092,,
Crooked River,Sapindaceae,Acer,Acer osmonti,0.09618,26.724067,0.000346152,,
Crooked River,Sapindaceae,Acer,Acer osmonti,0.11032,14.176214,0.000858516,,
Crooked River,Sapindaceae,Acer,Acer sp 1,0.13511,24.550542,0.000743556,,
Crooked River,Sapindaceae,Acer,Acer sp 1,0.159885,17.977703,0.00142194,,
Crooked River,Sapindaceae,Acer,Acer sp 1,0.092515,15.423958,0.000554918,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.098806,18.930299,0.000515714,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.161956,14.154655,0.001853083,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.108546,20.210278,0.000582982,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.140088,37.793739,0.000519257,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.143638,18.765376,0.001099465,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.091102,4.885122,0.001698949,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.098583,4.29357,0.002263526,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.12248,11.138167,0.001346842,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.106869,14.017875,0.000814744,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.17068,18.322347,0.001589953,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.099269,10.248496,0.00096154,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.115999,20.048353,0.000671166,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.093763,12.186907,0.000721389,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.141601,10.141651,0.001977079,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.112373,35.551695,0.000355192,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.106318,18.536243,0.000609806,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.14156,32.955671,0.000608066,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.118286,34.042802,0.000411,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.136867,15.213369,0.001231323,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.056618,4.993934,0.000641898,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.098186,20.095279,0.000479739,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.100397,19.852789,0.000507715,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.131723,19.562114,0.000886967,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.137077,26.603571,0.0007063,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.093686,22.830227,0.000384449,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.070174,9.862148,0.000499322,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.098455,5.613313,0.001726857,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.123339,29.667699,0.000512763,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.072091,15.831841,0.00032827,,
Crooked River,Betulaceae,Alnus,Alnus heterodonta,0.086818,7.229352,0.001042606,,
Crooked River,Betulaceae,Alnus,Alnus sp,0.098676,7.07864,0.00137554,,
Crooked River,Betulaceae,Alnus,Alnus sp,0.085446,9.963244,0.000732795,,
Crooked River,Rosaceae,Amelanchier,Amelanchier grayi,0.05171,8.32465,0.000321206,,
Crooked River,Rosaceae,Amelanchier,Amelanchier grayi,0.050234,5.861956,0.00043048,,
Crooked River,Rosaceae,Amelanchier,Amelanchier grayi,0.046924,4.286271,0.000513701,,
Crooked River,Rosaceae,Amelanchier,Amelanchier grayi,0.053947,6.590819,0.000441566,,
Crooked River,Betulaceae,Betula,Betula angustifolia,0.114135,29.813838,0.000436938,,
Crooked River,Betulaceae,Betula,Betula angustifolia,0.061831,5.319733,0.000718659,,
Crooked River,Betulaceae,Betula,Betula angustifolia,0.109405,18.042023,0.000663421,,
Crooked River,Meliaceae,Cedrela,Cedrela merrillii,0.125389,22.965865,0.000684599,,
Crooked River,Meliaceae,Cedrela,Cedrela merrillii,0.125407,26.270075,0.000598663,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.060038,3.111594,0.001158429,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.102031,3.961182,0.002628085,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.103028,3.927022,0.002703007,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.10023,4.600511,0.002183682,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.064372,0.83053,0.004989289,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.068264,3.469718,0.001343041,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.115741,9.524235,0.001406515,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.079767,5.433852,0.001170951,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.079123,2.565488,0.002440257,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.069913,2.717979,0.001798332,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.072439,2.537912,0.002067609,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.059883,2.407802,0.001489314,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.076617,1.792078,0.003275619,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.038776,1.079082,0.001393386,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.078791,1.7226,0.003603867,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.047316,1.759028,0.001272751,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.08807,4.667376,0.001661817,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.084153,4.677069,0.001514138,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.100907,4.586953,0.002219823,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.090158,5.517135,0.001473313,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.062214,3.803045,0.001017759,,
Crooked River,Ulmaceae,Cedrelospermum,Cedrelospermum lineatum,0.069829,1.702968,0.002863289,,
Crooked River,Lauraceae,Cinnamomophyllum,Cinnamomophyllum knowltonii,0.121644,4.219845,0.003506589,,
Crooked River,Rosaceae,Crataegus,Crataegus merriami,0.059321,9.767048,0.000360291,,
Crooked River,Rosaceae,Crataegus,Crataegus merriami,0.080728,10.50978,0.00062009,,
Crooked River,Rosaceae,Crataegus,Crataegus merriami,0.056677,2.725554,0.00117858,,
Crooked River,,,Dicot sp 23,0.100842,7.801503,0.001303481,,
Crooked River,,,Dicot Sp 23,0.118709,8.475707,0.001662614,,
Crooked River,,,Dicot  sp 21,0.138572,24.002237,0.000800017,,
Crooked River,Fagaceae,Fagus,Fagus pacifica,0.107653,13.198339,0.000878078,,
Crooked River,Fagaceae,Fagus,Fagus pacifica,0.087432,8.576408,0.000891324,,
Crooked River,Fagaceae,Fagus,Fagus pacifica,0.054383,7.630241,0.000387604,,
Crooked River,Hamamelidaceae,Fothergilla,Fothergilla praeovata,0.107594,7.769413,0.001490006,,
Crooked River,Hamamelidaceae,Fothergilla,Fothergilla praeovata,0.137843,8.126756,0.002338041,,
Crooked River,Hamamelidaceae,Fothergilla,Fothergilla praeovata,0.104094,6.473632,0.001673799,,
Crooked River,Hamamelidaceae,Fothergilla,Fothergilla praeovata,0.122271,6.582088,0.002271346,,
Crooked River,Hamamelidaceae,Fothergilla,Fothergilla praeovata,0.10399,7.528461,0.001436405,,
Crooked River,Fabaceae,,Leguminosae sp,0.070221,15.210267,0.000324188,,
Crooked River,Lauraceae,Litseaphyllum,Litseaphyllum presanguinea,0.075575,9.533569,0.000599102,,
Crooked River,Lauraceae,Litseaphyllum,Litseaphyllum presanguinea,0.077944,9.671998,0.000628129,,
Crooked River,Lauraceae,Litseaphyllum,Litseaphyllum presanguinea,0.13242,19.840195,0.000883815,,
Crooked River,Lauraceae,Litseaphyllum,Litseaphyllum presanguinea,0.114602,16.318767,0.000804817,,
Crooked River,Betulaceae,Ostrya,Ostrya oregoniana,0.06412,20.522171,0.000200338,,
Crooked River,Betulaceae,Ostrya,Ostrya oregoniana,0.111665,20.551619,0.00060672,,
Crooked River,Betulaceae,Ostrya,Ostrya oregoniana,0.083351,5.432637,0.001278824,,
Crooked River,Betulaceae,Ostrya,Ostrya oregoniana,0.080854,5.39595,0.001211533,,
Crooked River,Betulaceae,Ostrya,Ostrya oregoniana,0.046307,10.108464,0.000212133,,
Crooked River,Betulaceae,Ostrya,Ostrya oregoniana,0.034993,2.396803,0.000510893,,
Crooked River,Betulaceae,Ostrya,Ostrya oregoniana,0.088363,5.520912,0.001414263,,
Crooked River,Betulaceae,Ostrya,Ostrya oregoniana,0.072859,8.462177,0.000627313,,
Crooked River,Rhamnaceae,Paliurus,Paliurus blakei,0.083897,7.980441,0.000881995,,
Crooked River,Rhamnaceae,Paliurus,Paliurus blakei,0.089803,9.161067,0.00088031,,
Crooked River,Rhamnaceae,Paliurus,Paliurus blakei,0.111262,1.755768,0.007050608,,
Crooked River,Rhamnaceae,Paliurus,Paliurus blakei,0.085794,2.399611,0.003067418,,
Crooked River,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.063651,15.699174,0.000258068,,
Crooked River,Betulaceae,Paracarpinus,Paracarpinus chaneyi,0.06892,10.053556,0.000472466,,
Crooked River,Tiliaceae,Plafkeria,Plafkeria obliquifolia,0.0931,22.769479,0.000380668,,
Crooked River,Tiliaceae,Plafkeria,Plafkeria obliquifolia,0.140413,12.588454,0.001566182,,
Crooked River,Tiliaceae,Plafkeria,Plafkeria obliquifolia,0.050573,10.677504,0.000239534,,
Crooked River,Tiliaceae,Plafkeria,Plafkeria obliquifolia,0.17208,73.976339,0.000400284,,
Crooked River,Tiliaceae,Plafkeria,Plafkeria obliquifolia,0.089642,45.695865,0.000175852,,
Crooked River,Platanaceae,Platanus,Platanus exaspera,0.118786,50.72208,0.000278185,,
Crooked River,Platanaceae,Platanus,Platanus exaspera,0.103896,6.0732,0.001777379,,
Crooked River,Juglandaceae,Pterocarya,Pterocarya sp,0.077577,6.115876,0.000984028,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.096654,2.958097,0.00315811,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.078845,2.610438,0.002381414,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.118856,8.263324,0.001709572,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.102566,6.347075,0.001657422,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.138486,8.097724,0.002368366,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.105252,9.653504,0.001147561,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.109521,8.152304,0.001471345,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.115311,8.3184,0.00159846,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.145779,11.502771,0.001847513,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.078458,2.622107,0.0023476,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.085366,7.628615,0.000955266,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.102056,14.371046,0.000724751,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.11647,4.456339,0.003044037,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.080783,5.447092,0.001198051,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.065162,7.353906,0.000577392,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.0377,2.592237,0.000548287,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.125791,9.761417,0.001621012,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.083125,3.004381,0.002299897,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.073083,1.337437,0.003993553,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.084934,2.205345,0.003271046,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.079461,1.371333,0.004604316,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.098894,3.314388,0.002950778,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.109558,4.176739,0.002873762,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.128001,9.166891,0.00178733,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.133369,3.083346,0.005768827,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.092808,6.282492,0.001371005,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.099253,2.670969,0.003688234,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.091141,5.103909,0.001627514,,
Crooked River,Fagaceae,Quercus,Quercus berryi,0.124517,7.330935,0.002114939,,
